Name,Recs,Yds,TDs,Msrecs,Msyards,MStds,RAS,Height,Weight,40,10,Vert,Broad,Shuttle,Round ,Pick,NFLCar,Starter,CarAV,GP,GS,NFLRecs,NFLYds,NFLTDs,Recs/Year,Yds/Year,Tds/Year
Brandon Marshall-2005,74,1195,11,0.317596567,0.392446634,0.458333333,7.48,76.5,229,4.56,1.6,37,120,,4,119,12,10,84,172,156,959,12215,82,79.91666667,1017.916667,6.833333333
Kenny Britt-2008,87,1371,7,0.348,0.390042674,0.269230769,7.08,74.875,218,4.56,1.63,37,124,4.47,1,30,9,4,35,116,76,329,5137,32,36.55555556,570.7777778,3.555555556
Kenny Britt-2007,62,1232,8,0.29245283,0.377104377,0.380952381,7.08,74.875,218,4.56,1.63,37,124,4.47,1,30,9,4,35,116,76,329,5137,32,36.55555556,570.7777778,3.555555556
Jarett Dillard-2008,87,1310,20,0.256637168,0.307945463,0.416666667,4.95,70.25,191,4.57,1.6,42.5,129,4.41,5,144,3,0,3,21,5,35,398,1,11.66666667,132.6666667,0.333333333
Jarett Dillard-2007,79,1057,14,0.254019293,0.300540233,0.482758621,4.95,70.25,191,4.57,1.6,42.5,129,4.41,5,144,3,0,3,21,5,35,398,1,11.66666667,132.6666667,0.333333333
Jarett Dillard-2006,91,1247,21,0.366935484,0.448077614,0.724137931,4.95,70.25,191,4.57,1.6,42.5,129,4.41,5,144,3,0,3,21,5,35,398,1,11.66666667,132.6666667,0.333333333
Dwayne Bowe-2006,65,990,12,0.265306122,0.302567237,0.4,6.16,74.25,221,4.57,1.64,33,125,4.35,1,23,9,8,49,125,112,537,7208,44,59.66666667,800.8888889,4.888888889
Dwayne Bowe-2005,41,710,9,0.189814815,0.243818681,0.409090909,6.16,74.25,221,4.57,1.64,33,125,4.35,1,23,9,8,49,125,112,537,7208,44,59.66666667,800.8888889,4.888888889
Airese Currie-2004,61,868,2,0.342696629,0.419526341,0.285714286,3.93,70.5,186,4.57,1.72,38,125,4.07,5,140,1,0,0,1,0,0,0,0,0,0,0
Airese Currie-2003,43,560,4,0.143333333,0.151885001,0.173913043,3.93,70.5,186,4.57,1.72,38,125,4.07,5,140,1,0,0,1,0,0,0,0,0,0,0
Quan Cosby-2008,92,1123,10,0.268221574,0.280189621,0.277777778,2.92,68.625,196,4.57,1.6,,,4.47,8,500,4,0,0,44,0,6,71,0,1.5,17.75,0
